V1;CORRELA_16;CORRE_9;IDOJ1;IDAIO;CIMREP;BRUTA;CONSUI;GAS;EMPAQUE;HONORA;COMISION;ARRIENDO;SEGURO;ASEO;ENERGIA;COMUNICA;PUBLICO;FLETES;PUBLICI;ADECUA;REGALA;OUTSOURCING;OTROS;SUELDOS;PRESTAC;VENTA;AGREGA;PERREMUN;SOCIOS;PERSONOM;DIRECTO;AGENCIA;APRENDIZ;TOTPERSO;PROMUJ;PROHOM;PERMUJ;PERHOM;DIRMUJ;DIRHOM;AGEMUJ;AGEHOM;APRENMUJ;APRENHOM;TOTMUJ;TOTHOM;SUEPLAN;PREPLAN;REMPLAN;COTIZA;GASAGEN;REMTEMP;TOTREM;INVINI;INVFIN;ROTACION;INVPRO;CTO;CTOINS;VENTASNOP;GASTOS;GASTOSNOP;GASTOPNOP
987670;464;464-465;4;2005;0;1750909;408782,5;125;0;129169;0;12965;42412;7325;6789;5747;3567;22354;0;61644;0;0;116685,5;483062;243151;7141399;1342126,5;10;0;10;0;0;0;10;0;0;4;6;0;0;0;0;0;0;4;6;483062;142581;625643;86963,12;0;0;712606,12;1962800;1871691;5410382;1917245,5;5410382;5410382;0;6031106;383330;7140649
987679;466;466-469;14;2002;0;987853;143263;0;0;17433;0;69255;0;1431;5938;5371;1432;0;0;15967;0;0;26436;240766;100162;6414054;844590;14;0;14;0;0;0;14;0;0;4;10;0;0;0;0;0;0;4;10;240766;64357;305123;30847,32;0;0;335970,32;1506170;1504295;5434047;1505232,5;5434047;5434047;0;5640932;149200;6146507
987680;465;464-465;14;1982;323000;1989900;241328;0;0;50797;0;51591;20915;1734;7724;13709;2022;2241;13351;34874;0;0;42370;522041;263459;6946062;1748572;24;1;0;24;0;1;26;1;0;0;0;10;14;0;0;1;0;12;14;0;138163;0;110690,08;0;515019;625709,08;1194169;1367411;4642074,252;1280790;4642074;4965074;0;5318488;295591;6399579
987691;466;466-469;14;2000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
987704;464;464-465;14;2012;0;2298269;998779;0;43072;50082;0;247059;63822;2091;8309;28179;3169;348483;18728;72228;0;44320;69237;578131;211831;8170342;1299490;30;0;30;0;0;2;32;0;0;14;16;0;0;0;0;2;0;16;16;567594;104767;672361;94475,76;0;0;766836,76;1971853;1495756;5874921;1733804,5;5874921;5874921;0;7010475;948563;8785391
987707;4711-472;471-472;11;1999;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
987762;464;464-465;2;2008;0;671395;116181;0;0;27112;0;47040;7706;771;1994;5961;772;380;0;10031;0;0;14414;224621;76244;3676088;555214;14;0;14;0;0;0;14;0;0;2;12;0;0;0;0;0;0;2;12;224621;42321;266942;28939;0;0;295881;319272;353496;2829642;336384;2829642;2829642;0;2993725;46835;3358168
987769;462;462-463;11;2010;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
988672;462;462-463;14;2003;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
988681;466;466-469;4;1988;0;597104;340233,5;0;0;18210;0;216548;37235;1805;4853;17451;2106;0;0;9764;0;0;32261,5;127174;53144;3763359;256870,5;8;1;8;0;0;0;9;0;1;2;6;0;0;0;0;0;0;2;7;127174;27620;154794;22684,24;0;0;177478,24;1195706;549157;3167804;872431,5;3167804;3167804;0;3586843;80333;3866737
988702;464;464-465;14;2000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
988711;4751-4752;474 - 475;14;2002;0;1972169;190881;315;15293;66916;0;0;8545;6647;29442;6158;8757;0;0;17506;0;0;31302;424577;153185;9751313;1781288;39;0;39;0;0;1;40;0;0;24;15;0;0;0;0;1;0;25;15;414513;82360;496873;61369,96;0;0;558242,96;4865411;6736000;7802434;5800705,5;7802434;7802434;0;8105355;412261;9172589
988714;462;462-463;14;2003;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
988721;4771;476 - 477;14;2004;0;4171257;2037605,5;0;59210;120910;13440;1064982;7054;12700;217103;40897;5799;118926;38623;137356;0;0;120847,5;1028202;471140;9555358;2133651,5;62;2;34;28;5;3;72;0;2;30;4;10;18;2;3;2;1;44;28;697020;286295;933935;161337,32;79758;311800;1407072,32;948606;809920;5383530;879263;5383530;5383530;0;7576984;127482;9329018
988752;4741-4742;474 - 475;14;2007;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
988783;451;451;14;2010;1016805;5577356;1300105,5;0;0;116496;20358;479167;41184;80635;149075;48253;16450;40718;211350;69856;0;0;26563,5;1468271;544011;37334469;4277250,5;63;0;63;0;0;3;66;0;0;28;35;0;0;0;0;1;2;29;37;1436711;259504;1696215;239514,92;0;0;1935729,92;6915557;5786513;31043637,16;6351035;31043637;32060442;0;33691030;1479959;37251196
988784;4773;476 - 477;14;2010;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
988785;464;464-465;14;2010;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
988791;462;462-463;14;2012;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
988797;466;466-469;14;2011;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
