Departamento;Dep;Municipio;Depmun;Superficie;Poblacion;Irural;Region
 Ant%ioqUia;05;Mede&l'lín;05001;374,8306248;2483545;5;Región Eje Cafetero 
 Ant%ioquia;05; Abej!&orr*al ;05002;507,1341142;20258;45;Región Eje Cafetero 
Ant%ioquia;05;A?br'&iaquí ;05004;296,9559801;2710;58;Región Eje Cafetero 
 Ant%io>qUia;05;Alej#andr&'ía;05021;128,9321532;4669;48;Región Eje Cafetero 
 Antioquia;05;Am#a?&'*gá;05030;84,13247691;30777;28;Región Eje Cafetero 
AntioqUia;05;Am?al#'*fi;05031;1209,126871;26552;54;Región Eje Cafetero 
 AntioqUia;05;   Andes*!   ;05034;402,5025624;43713;38;Región Eje Cafetero 
Ant%ioquia   ;05;  &# Angelópoli?s   ;05036;81,87630162;5790;37;Región Eje Cafetero 
Antioq>Uia;05;Ang#'ostura;05038;338,6664821;11462;47;Región Eje Cafetero 
Ant%ioquia ;05; An*'#?orí;05040;1413,773904;18737;58;Región Eje Cafetero 
 Antioquia;05; San'!tafé de Antioqu&*ia ;05042;525,6013746;26598;45;Región Eje Cafetero 
Ant%ioquia   ;05; !An*?&za;05044;255,9233139;7085;48;Región Eje Cafetero 
Antioq>uia   ;05; A?pa&r't#adó;05045;535,1723772;124647;34;Región Eje Cafetero 
Antioq>Uia   ;05;   Arbo&le!'tes   ;05051;754,251902;29942;48;Región Eje Cafetero 
 Ant%ioqUia ;05;  # Argel!&ia;05055;245,3417823;7577;46;Región Eje Cafetero 
Antioquia;05; Arme'ni!a ;05059;110,434975;5085;43;Región Eje Cafetero 
Ant%ioq>uia;05;Bar#b*?&osa;05079;205,6661682;53242;32;Región Eje Cafetero 
 Ant%ioquia;05; &B'elmi!ra;05086;296,1531671;6054;51;Región Eje Cafetero 
Ant%ioquia ;05;   B'el&lo;05088;147,758418;538527;12;Región Eje Cafetero 
Antioquia ;05; '#  &Beta!?nia;05091;180,5259868;10274;42;Región Eje Cafetero 
   Ant%ioqUia   ;05;Betulia;05093;262,3675026;15736;42;Región Eje Cafetero 
Ant%ioqUia;05; Ciudad? Bolívar;05101;260,4461079;26160;38;Región Eje Cafetero 
Ant%ioqUia;05; Briceño ;05107;376,3467564;8065;52;Región Eje Cafetero 
Ant%ioquia   ;05;B'*ur!iticá ;05113;355,2102558;9502;52;Región Eje Cafetero 
 AntioqUia;05; '  !C*áceres;05120;1873,802834;29716;56;Región Eje Cafetero 
AntioqUia;05;C#?&aicedo;05125;200,1298832;8420;46;Región Eje Cafetero 
Antioquia;05;  # C!a*?ldas;05129;132,7559357;81658;24;Región Eje Cafetero 
Ant%io>quia;05;C'am#p*a&mento ;05134;206,3433464;9202;46;Región Eje Cafetero 
AntioqUia ;05;   Ca&ñasgord?as;05138;364,8312301;15490;46;Región Eje Cafetero 
Antioq>Uia;05;   Car&'aco?lí;05142;262,7987754;4537;53;Región Eje Cafetero 
Ant%io>qUia   ;05;Caram&ant*a   ;05145;92,05778314;4670;42;Región Eje Cafetero 
Antioquia   ;05;  ? #Ca!re*pa;05147;387,2706422;49659;40;Región Eje Cafetero 
   Antioquia   ;05;El  # Carmen   de   Vibora*l   ;05148;423,6451916;61122;38;Región Eje Cafetero 
Antioq>Uia ;05;   Ca!?rolin#'a   ;05150;149,580818;3954;51;Región Eje Cafetero 
Antioquia   ;05;   'C?*aucas#ia;05154;1429,121976;93044;45;Región Eje Cafetero 
Antioq>uia;05;   Chigorodó   ;05172;721,6826453;58684;43;Región Eje Cafetero 
AntioqUia;05;Ci&sne#ros;05190;46,93473179;9844;34;Región Eje Cafetero 
   Antioq>uia   ;05; Coc'o!rná;05197;241,7647034;15042;41;Región Eje Cafetero 
AntioqUia   ;05; &'Concepc#ión ;05206;202,0544856;4760;49;Región Eje Cafetero 
Ant%ioq>uia ;05; C!oncordia;05209;247,8803905;21504;39;Región Eje Cafetero 
   Ant%ioquia   ;05;Copac#a'?ba!*&na;05212;67,76071731;80000;20;Región Eje Cafetero 
Ant%ioquia;05;Dab&eib!a   ;05234;1957,262708;23255;57;Región Eje Cafetero 
AntioqUia ;05;  ? #Don   Matías   ;05237;203,3323106;19332;39;Región Eje Cafetero 
   Antioq>uia;05; '?!Ebéj&ico;05240;237,7793784;12108;42;Región Eje Cafetero 
Ant%ioq>Uia   ;05;E!l 'Bagre;05250;1560,248872;52925;51;Región Eje Cafetero 
Antioq>Uia ;05; Entrer!ri'o*s ;05264;214,1959458;11465;46;Región Eje Cafetero 
Ant%ioquia ;05;E'nvigado;05266;77,99670323;236114;8;Región Eje Cafetero 
 Antioquia;05;F#redonia;05282;258,092599;24553;38;Región Eje Cafetero 
   Antioquia   ;05;Fr?ontino;05284;1384,131365;20657;55;Región Eje Cafetero 
   Ant%ioq>uia;05;Gir'al!do ;05306;93,49444129;5652;48;Región Eje Cafetero 
   Antioquia;05; G&#irard*ota;05308;82,85600095;53162;25;Región Eje Cafetero 
   AntioqUia   ;05;Gó?*'mez Plata;05310;332,2046287;9828;48;Región Eje Cafetero 
   Ant%ioquia;05;Gra'#?nada;05313;190,2251211;9870;43;Región Eje Cafetero 
